Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,days_count,Burn Rate
1,0,1,4,4.0,8.9,4940,0.76
1,0,1,3,4.0,5.2,4809,0.46
0,1,1,2,5.0,4.5,5015,0.36
1,0,0,2,3.0,6.6,4814,0.45
1,0,1,3,5.0,3.8,5051,0.27
0,0,0,3,7.0,7.6,5044,0.65
1,0,1,3,6.0,5.6,4933,0.34
1,1,1,1,3.0,5.4,4788,0.37
0,0,1,1,2.0,4.9,4890,0.25
0,1,0,2,5.0,7.3,4883,0.57
0,1,0,2,5.0,5.6,5005,0.52
1,0,0,4,8.0,7.8,4780,0.75
1,0,1,4,7.0,6.7,4819,0.55
1,1,0,1,4.0,6.5,4762,0.43
1,1,1,0,1.0,1.8,4842,0.1
1,0,0,3,6.0,8.1,4832,0.68
0,1,1,3,7.0,6.4,4953,0.56
0,1,1,3,8.0,7.2,5044,0.73
1,1,0,2,5.0,8.6,4940,0.7
0,1,0,2,5.0,5.9,5006,0.58
0,0,0,4,8.0,9.5,4716,0.88
0,0,1,2,6.0,6.8,4844,0.63
1,1,0,2,5.0,6.5,4854,0.62
1,1,1,2,3.0,3.5,4812,0.25
0,1,0,2,3.0,4.8,4955,0.4
0,0,0,3,8.0,7.6,4947,0.77
0,0,1,3,6.0,6.2,5022,0.58
1,0,1,3,6.0,3.6,4756,0.3
0,0,0,3,6.0,8.0,4963,0.61
1,1,1,3,5.0,6.0,4772,0.4
1,1,1,1,3.0,3.8,4946,0.33
1,0,1,1,2.0,2.4,5006,0.06
0,1,1,1,4.0,4.3,4849,0.36
1,1,1,1,2.0,3.7,4808,0.28
0,0,1,2,5.0,5.6,5067,0.37
1,1,1,0,1.0,1.0,4926,0.03
1,0,1,2,5.0,7.2,4879,0.67
0,1,1,1,3.0,6.7,4987,0.46
1,1,1,3,8.0,7.5,4706,0.72
1,1,0,3,6.0,5.9,4903,0.69
1,1,0,4,7.0,7.5,4983,0.65
1,0,0,0,1.0,4.0,5015,0.24
1,1,1,1,3.0,5.3,4735,0.41
1,0,0,2,5.0,7.5,5000,0.68
1,1,1,1,2.0,5.9,5053,0.42
0,0,0,4,7.0,7.7,5040,0.72
0,1,1,0,2.0,4.4,4982,0.33
1,1,1,2,3.0,5.9,4775,0.37
0,1,1,4,6.0,5.9,5008,0.6
0,1,1,3,5.0,6.5,4783,0.48
0,0,1,2,4.0,5.5,4855,0.48
0,1,0,2,5.0,5.0,4740,0.36
1,1,1,1,1.0,5.9,4956,0.24
0,0,0,4,10.0,9.2,4877,0.91
1,0,1,1,2.0,4.1,4712,0.24
1,1,0,3,6.0,5.5,4741,0.45
0,1,0,5,9.0,8.8,4897,0.85
1,1,0,2,4.0,5.5,4929,0.34
0,0,1,1,3.0,5.9,4736,0.36
1,1,1,2,4.0,4.5,4757,0.34
0,0,0,3,6.0,8.0,4950,0.59
1,1,1,2,4.0,5.8,4866,0.44
0,1,0,1,3.0,4.4,4746,0.38
0,0,0,3,6.0,7.5,4706,0.59
1,1,0,2,7.0,8.0,4898,0.7
0,0,0,2,3.0,6.1,4826,0.42
0,0,1,1,2.0,5.1,4923,0.46
1,1,1,3,4.0,5.9,4710,0.48
1,1,1,3,5.0,4.7,5025,0.39
1,1,1,3,5.0,5.2,4976,0.42
0,0,1,0,1.0,0.0,4908,0.0
1,1,1,2,5.0,5.1,4775,0.46
0,0,1,1,2.0,4.4,4841,0.3
1,0,0,4,6.0,6.9,4767,0.63
1,1,0,2,5.0,5.3,4873,0.45
0,1,0,2,3.0,5.9,4958,0.49
1,1,1,3,6.0,6.0,5061,0.58
0,0,0,4,7.0,8.6,4917,0.67
0,1,0,2,5.0,7.3,4990,0.71
1,1,1,1,3.0,5.5,4965,0.48
0,1,1,1,3.0,2.9,4928,0.22
1,0,0,3,6.0,5.1,4759,0.43
0,1,1,4,8.0,5.9,5000,0.74
0,1,0,2,5.0,6.4,5023,0.57
1,1,1,2,3.0,5.9,4947,0.22
1,1,0,3,4.0,5.8,4746,0.47
1,1,1,3,4.0,6.1,4767,0.47
1,1,1,3,5.0,5.3,4759,0.47
1,0,1,1,4.0,5.5,4783,0.34
1,1,1,1,3.0,5.5,4786,0.37
1,1,0,3,7.0,7.8,4800,0.8
0,0,0,4,8.0,8.9,5064,0.8
1,0,0,2,4.0,5.9,4758,0.36
1,1,1,1,4.0,6.9,4865,0.49
1,1,1,1,3.0,5.9,4789,0.35
0,1,1,0,1.0,0.0,4818,0.0
0,1,1,4,9.0,9.3,4939,0.86
1,1,1,1,2.0,4.6,4996,0.33
1,1,1,3,6.0,5.7,4904,0.5
1,1,1,2,4.0,4.5,4773,0.34
0,0,1,0,2.0,4.7,5017,0.23
0,0,0,4,8.0,9.9,4977,0.92
1,1,1,3,6.0,6.3,4930,0.44
1,1,1,1,3.0,3.6,4806,0.15
1,1,1,0,2.0,4.3,4854,0.32
1,1,1,3,4.0,6.5,5062,0.43
0,1,0,4,9.0,8.7,5052,0.78
0,1,1,0,1.0,3.1,4976,0.23
0,1,1,2,4.0,3.6,4875,0.21
0,1,1,1,2.0,3.6,4842,0.23
1,0,1,3,5.0,5.7,4968,0.4
1,1,1,2,5.0,5.7,4741,0.38
1,1,0,0,1.0,0.5,4963,0.0
1,0,0,2,4.0,3.9,4937,0.33
0,0,1,3,4.0,7.3,4861,0.63
1,0,0,2,5.0,7.0,4876,0.62
1,1,0,2,4.0,5.9,4783,0.39
0,1,1,3,4.0,5.4,4903,0.36
1,1,1,2,3.0,3.7,4973,0.28
1,0,0,3,4.0,7.4,4718,0.56
1,1,1,2,4.0,6.1,4817,0.41
0,1,1,0,1.0,2.8,4947,0.1
1,1,0,2,4.0,6.9,5059,0.63
0,1,1,3,7.0,7.3,5042,0.67
0,1,0,3,7.0,7.2,4965,0.62
0,1,1,2,7.0,9.0,4975,0.77
1,1,0,0,1.0,0.0,4911,0.0
0,0,1,2,6.0,5.6,4716,0.51
1,1,1,2,4.0,6.8,4707,0.61
1,1,1,1,3.0,5.1,4763,0.41
1,1,1,3,5.0,6.0,4850,0.53
1,1,1,1,3.0,6.8,4719,0.5
0,0,1,2,5.0,6.5,4748,0.55
0,1,1,4,6.0,5.7,4875,0.49
0,1,1,2,4.0,6.9,5049,0.57
0,0,1,3,5.0,6.1,4777,0.44
0,1,1,3,7.0,8.8,4887,0.7
1,1,1,1,2.0,6.8,4775,0.48
0,0,0,0,4.0,3.8,4711,0.23
0,1,0,4,7.0,5.9,4820,0.79
0,1,0,2,5.0,6.8,5051,0.6
0,0,1,2,4.0,5.5,4813,0.48
1,1,1,2,3.0,4.5,4768,0.21
1,0,0,2,2.0,2.6,4866,0.15
0,1,0,5,10.0,10.0,4782,0.98
1,1,1,1,2.0,4.3,4846,0.25
0,0,0,3,8.0,8.8,5023,0.7
1,1,0,4,7.0,7.2,4758,0.69
0,1,1,1,3.0,4.4,5030,0.33
1,1,0,2,4.0,5.5,4967,0.44
1,0,0,2,5.0,7.8,4709,0.57
0,0,1,1,3.0,4.5,4852,0.27
0,1,0,4,6.0,6.7,4727,0.67
1,1,0,1,1.0,3.4,5044,0.25
1,1,0,0,1.0,3.6,4833,0.18
1,0,0,3,7.0,7.9,5008,0.6
1,1,1,2,5.0,5.3,4796,0.39
1,1,1,1,3.0,5.3,4805,0.34
1,0,0,3,6.0,5.5,4785,0.52
1,0,0,1,3.0,5.4,4951,0.42
0,0,1,1,1.0,4.8,4710,0.28
1,0,1,2,4.0,6.2,4825,0.38
0,0,0,4,6.0,6.9,4931,0.59
1,0,1,2,5.0,8.0,5047,0.62
0,0,0,3,7.0,8.7,4812,0.76
1,1,0,1,3.0,4.2,4818,0.33
0,1,0,2,2.0,4.2,4845,0.28
1,1,0,3,6.0,7.2,5045,0.62
1,1,1,2,4.0,5.2,4847,0.45
0,1,1,2,2.0,3.3,4812,0.24
0,1,0,2,5.0,6.3,4799,0.53
0,1,1,2,4.0,6.8,5005,0.59
0,0,1,3,6.0,5.9,4928,0.65
0,0,1,3,5.0,3.8,4977,0.29
1,0,1,1,2.0,2.7,4730,0.19
1,1,0,4,7.0,8.1,5018,0.65
1,0,1,1,1.0,1.3,4814,0.02
1,1,1,2,4.0,7.0,4780,0.47
0,1,0,4,7.0,5.9,4933,0.82
1,1,0,2,5.0,6.6,4770,0.43
1,1,0,2,5.0,7.9,4804,0.61
1,0,0,0,2.0,4.7,4910,0.33
1,1,0,2,4.0,7.9,5005,0.6
1,0,0,2,6.0,6.4,5007,0.52
0,1,1,5,9.0,9.3,4949,0.93
0,0,0,2,4.0,6.3,4715,0.47
0,1,0,2,4.0,6.4,5061,0.53
0,1,0,3,7.0,6.9,5036,0.51
1,1,1,1,1.0,4.9,4855,0.26
1,0,1,3,4.0,5.2,4966,0.42
1,1,0,2,5.0,6.2,4745,0.58
1,1,1,1,2.0,5.3,4746,0.3
0,0,1,3,6.0,6.2,4727,0.56
0,0,0,2,5.0,6.1,4731,0.57
1,1,1,2,3.0,5.5,4747,0.3
0,1,0,4,8.0,9.5,4958,0.86
0,0,0,2,6.0,6.3,4757,0.62
0,1,1,3,5.0,5.2,5014,0.41
0,1,1,1,4.0,5.1,4896,0.38
1,1,1,2,5.0,5.9,5024,0.41
1,1,0,2,5.0,5.8,4866,0.46
1,1,0,2,4.0,5.9,4926,0.44
1,0,0,1,1.0,3.2,4842,0.24
1,1,1,2,4.0,6.1,5015,0.39
1,1,0,2,4.0,7.5,5025,0.53
1,1,0,2,4.0,6.0,4747,0.53
1,1,0,2,2.0,3.9,5015,0.21
0,1,0,4,8.0,8.4,4783,0.77
1,0,1,1,2.0,6.0,4713,0.37
0,1,0,3,8.0,5.9,5000,0.93
1,1,1,4,7.0,5.9,4848,0.67
0,1,1,1,3.0,4.9,4996,0.38
0,0,1,3,4.0,6.3,4882,0.47
0,1,0,4,8.0,8.0,4826,0.69
0,1,0,2,7.0,7.1,4749,0.72
0,1,0,4,8.0,7.3,4892,0.73
1,0,0,4,8.0,8.2,4760,0.72
1,0,0,2,6.0,7.1,5001,0.58
1,1,1,2,5.0,4.5,4915,0.38
1,1,1,1,4.0,5.0,4987,0.36
0,1,0,2,5.0,4.2,4999,0.32
0,0,1,1,3.0,4.8,5012,0.35
1,1,1,4,8.0,9.4,4802,0.83
0,1,1,4,7.0,7.9,4796,0.73
0,0,1,0,2.0,2.1,5016,0.15
0,1,1,2,5.0,4.2,4770,0.3
0,1,0,1,3.0,6.6,5066,0.47
1,0,0,4,6.0,7.1,4901,0.68
0,0,0,5,10.0,9.7,4788,0.87
1,0,1,1,2.0,5.5,4924,0.4
1,1,0,1,3.0,5.2,4927,0.43
0,0,0,4,7.0,8.4,5057,0.64
0,0,0,2,3.0,3.4,4910,0.26
0,1,0,2,4.0,7.2,5020,0.59
0,1,0,2,6.0,7.0,4813,0.52
1,1,0,2,5.0,7.3,4800,0.56
0,1,0,3,6.0,6.5,4912,0.56
1,1,1,0,1.0,5.9,4747,0.25
0,1,0,1,4.0,5.8,4719,0.53
0,1,0,2,4.0,6.2,5054,0.4
1,1,0,2,4.0,4.2,4761,0.31
0,0,0,3,4.0,8.9,4988,0.83
0,1,0,1,5.0,6.6,5015,0.54
1,1,1,2,4.0,5.5,4959,0.36
0,0,0,2,6.0,7.5,5037,0.55
0,1,1,1,2.0,3.8,4911,0.22
0,1,1,4,4.0,6.9,5060,0.69
1,0,1,3,5.0,5.0,5050,0.4
0,1,1,3,6.0,7.9,5030,0.64
0,1,1,3,5.0,6.5,4741,0.48
1,1,1,1,3.0,5.2,4878,0.39
1,1,1,3,5.0,5.6,4942,0.4
1,0,1,2,4.0,6.2,4975,0.49
0,1,1,2,4.0,5.9,4789,0.16
1,1,0,2,2.0,3.9,4904,0.29
0,1,1,2,5.0,6.1,5004,0.41
0,1,1,2,5.0,5.5,4724,0.37
0,0,0,3,6.0,8.6,4831,0.68
1,1,1,2,5.0,7.1,4950,0.58
1,1,0,2,6.0,6.9,4932,0.55
1,0,1,2,3.0,6.9,4910,0.5
0,0,0,2,4.0,6.3,5005,0.57
0,0,1,2,3.0,6.3,4705,0.44
0,1,1,2,3.0,5.7,4899,0.37
1,1,0,2,6.0,5.9,5036,0.61
0,1,0,3,7.0,6.3,5040,0.62
0,0,0,2,4.0,6.7,4936,0.57
1,1,1,1,4.0,1.9,5020,0.03
0,1,1,3,5.0,4.9,4969,0.37
0,1,1,1,4.0,5.4,4763,0.35
0,1,0,4,6.0,7.0,4713,0.55
1,1,1,2,4.0,5.9,4980,0.18
1,1,1,2,4.0,6.5,4902,0.61
0,0,1,2,3.0,4.0,4732,0.2
1,0,1,0,1.0,4.0,4952,0.2
1,0,0,3,7.0,5.9,4756,0.64
1,1,0,1,2.0,5.9,4996,0.43
1,1,1,1,3.0,3.7,4805,0.17
0,1,0,2,4.0,5.2,4720,0.47
0,1,0,0,1.0,2.8,4787,0.12
1,1,0,5,10.0,5.9,4909,1.0
1,0,0,3,6.0,8.2,4960,0.65
1,1,1,3,4.0,5.5,4755,0.42
1,1,0,1,1.0,3.6,4873,0.28
0,0,1,2,5.0,6.9,4850,0.67
1,0,0,5,9.0,9.4,4898,0.88
0,1,1,1,3.0,3.6,4734,0.29
0,1,0,2,5.0,6.8,4741,0.6
0,1,1,0,1.0,3.8,4927,0.17
1,0,1,1,2.0,1.6,5025,0.08
0,1,0,2,4.0,5.4,5027,0.48
1,1,0,2,4.0,7.3,4711,0.51
1,1,1,0,2.0,4.0,4793,0.3
1,1,0,2,4.0,7.0,4855,0.54
1,1,0,4,8.0,7.8,5046,0.74
0,1,1,1,3.0,3.4,4828,0.29
0,0,0,3,6.0,7.4,4859,0.52
1,0,0,3,6.0,6.6,4889,0.46
1,1,0,1,3.0,4.7,4989,0.37
0,1,1,1,4.0,4.7,4966,0.36
0,0,0,2,5.0,4.9,4764,0.39
0,1,0,2,6.0,8.7,4746,0.7
1,0,0,2,4.0,5.6,4815,0.38
0,1,1,5,9.0,9.4,4837,0.88
0,1,1,1,2.0,3.6,4858,0.22
1,1,0,3,6.0,7.2,4817,0.63
0,1,0,4,8.0,5.9,4910,0.68
0,0,0,2,5.0,7.2,4834,0.66
1,1,1,2,5.0,6.5,4847,0.49
0,0,0,3,7.0,5.9,4746,0.77
0,1,0,1,2.0,5.2,5027,0.44
1,1,0,2,4.0,5.9,4903,0.6
0,1,1,0,1.0,5.9,4732,0.2
1,1,1,2,4.0,5.5,5037,0.45
1,0,1,0,1.0,4.1,5001,0.2
0,1,0,5,10.0,9.2,4943,0.75
1,0,1,1,1.0,2.6,4803,0.09
1,1,0,1,2.0,5.5,5008,0.39
0,1,1,2,4.0,2.5,4949,0.14
1,1,1,3,7.0,5.8,4940,0.55
1,1,1,1,1.0,3.2,5040,0.2
0,0,0,3,7.0,8.3,4900,0.66
0,1,0,1,3.0,4.6,4842,0.38
1,0,0,0,4.0,4.1,4741,0.26
1,1,0,2,4.0,6.8,5057,0.46
0,1,1,1,3.0,4.9,5056,0.43
0,1,0,3,6.0,6.4,4791,0.51
0,1,0,0,1.0,5.9,4906,0.16
1,1,0,2,4.0,6.9,4795,0.5
1,1,0,2,5.0,6.0,4905,0.55
1,1,1,3,5.0,6.5,4920,0.5
1,0,1,1,2.0,5.7,4750,0.48
0,1,0,2,5.0,7.6,4763,0.6
0,1,0,3,5.0,6.0,4736,0.53
1,0,1,1,3.0,5.6,4715,0.34
1,0,1,3,5.0,5.7,4785,0.39
1,1,0,3,4.0,6.3,4747,0.43
0,1,1,3,7.0,6.7,5000,0.63
0,1,1,3,6.0,4.7,4923,0.43
1,0,1,2,4.0,3.9,4870,0.32
0,1,1,1,4.0,3.8,4860,0.33
1,0,1,0,1.0,3.9,4910,0.21
0,1,0,4,8.0,6.7,4890,0.65
1,0,1,2,2.0,3.5,4994,0.27
1,1,0,3,8.0,7.9,4862,0.76
1,1,1,1,1.0,2.0,4862,0.04
1,0,0,0,1.0,1.7,4712,0.13
1,0,1,1,4.0,6.7,5069,0.5
1,1,1,1,3.0,3.2,4999,0.11
1,0,1,1,2.0,4.9,4931,0.42
0,1,0,3,6.0,8.8,4746,0.7
0,1,1,3,5.0,6.2,4796,0.41
0,0,0,1,3.0,4.2,4830,0.25
1,0,1,0,2.0,3.3,4759,0.18
1,1,0,1,2.0,5.2,4825,0.28
0,1,1,2,3.0,6.4,4734,0.44
1,0,0,3,6.0,6.6,4827,0.52
1,1,1,1,2.0,4.8,4990,0.28
1,0,0,2,5.0,6.2,4792,0.53
1,1,1,0,2.0,4.7,4923,0.27
1,1,0,0,1.0,3.1,4775,0.14
1,0,0,3,6.0,6.0,4719,0.53
0,0,1,1,2.0,5.9,4712,0.22
1,1,1,1,2.0,3.3,4874,0.24
1,0,0,3,6.0,8.1,4917,0.67
1,0,1,2,4.0,6.2,4798,0.38
0,1,1,2,6.0,6.9,4772,0.65
1,1,0,1,3.0,5.5,4770,0.46
1,1,0,3,5.0,4.2,5025,0.31
1,1,0,3,7.0,6.1,5056,0.55
1,1,1,2,4.0,5.9,4816,0.4
1,0,0,0,1.0,0.0,4805,0.0
1,0,0,4,7.0,6.2,4787,0.51
1,1,1,3,5.0,5.9,4788,0.37
1,0,1,1,3.0,4.7,5035,0.23
1,1,1,2,4.0,5.1,4781,0.41
1,1,0,1,2.0,4.7,4888,0.27
0,1,1,1,3.0,6.1,4941,0.41
1,0,0,2,4.0,2.7,4721,0.16
0,1,0,4,7.0,6.9,4840,0.66
1,1,1,3,6.0,5.9,5026,0.49
1,0,1,0,2.0,5.9,4892,0.34
1,1,0,1,3.0,4.4,4973,0.29
0,1,1,3,5.0,6.5,4712,0.47
0,0,1,0,1.0,5.9,4801,0.07
1,1,1,2,4.0,4.6,4861,0.31
1,0,0,2,5.0,6.8,4988,0.65
1,1,1,1,4.0,2.1,5000,0.12
0,0,1,2,5.0,6.5,5007,0.51
0,0,1,1,2.0,3.6,4906,0.2
1,1,1,1,2.0,3.9,4873,0.25
0,1,0,2,6.0,6.4,4786,0.57
1,1,1,3,5.0,5.2,4774,0.48
0,1,0,2,5.0,7.6,5005,0.73
1,1,1,0,1.0,3.8,5031,0.22
1,1,0,2,5.0,7.7,4995,0.59
0,0,1,1,3.0,5.5,4992,0.33
0,1,0,2,5.0,7.4,4844,0.55
0,1,0,1,4.0,4.8,5049,0.36
0,1,1,1,3.0,4.2,4755,0.27
1,0,1,2,4.0,5.9,4827,0.41
1,1,0,3,6.0,6.0,4855,0.53
1,1,0,4,8.0,9.0,5011,0.74
1,0,1,1,4.0,4.2,4887,0.33
0,0,0,2,6.0,6.7,4921,0.54
1,1,1,3,4.0,5.9,4750,0.38
0,1,1,3,6.0,6.1,5063,0.56
0,1,0,1,3.0,5.2,5027,0.32
0,1,0,4,7.0,6.7,4824,0.51
1,1,1,2,4.0,5.6,4920,0.35
0,1,0,1,2.0,5.3,4830,0.49
1,1,1,4,6.0,7.7,4715,0.67
1,1,0,2,4.0,3.5,4848,0.29
0,1,1,1,2.0,5.9,4835,0.3
0,1,0,2,4.0,4.7,4773,0.4
0,1,1,3,6.0,5.0,5017,0.35
1,1,1,1,2.0,4.7,4757,0.23
0,0,1,1,4.0,6.4,4939,0.41
0,1,1,3,6.0,7.3,4957,0.59
1,0,1,1,4.0,5.1,4744,0.39
0,0,0,2,5.0,5.9,4875,0.52
1,0,1,1,4.0,6.0,4817,0.44
0,1,0,4,7.0,7.6,5005,0.68
0,1,0,2,4.0,6.0,4828,0.42
0,1,1,3,5.0,6.3,4733,0.44
0,1,0,3,5.0,5.9,5053,0.38
1,1,0,4,6.0,7.2,4817,0.64
1,1,0,2,3.0,3.4,4810,0.18
0,1,0,2,4.0,7.3,4843,0.69
0,1,0,2,4.0,5.9,4800,0.39
1,0,1,2,4.0,4.0,4886,0.32
0,1,0,2,6.0,6.1,4942,0.58
0,1,1,4,7.0,5.6,4869,0.49
0,1,0,3,5.0,6.1,5000,0.6
0,1,0,2,6.0,8.1,4906,0.65
1,1,1,3,4.0,5.2,4742,0.29
0,1,1,0,1.0,3.1,4867,0.17
1,0,0,3,6.0,6.1,4783,0.56
1,1,1,3,6.0,5.6,4769,0.43
0,1,0,2,4.0,5.9,4845,0.66
1,1,1,1,2.0,4.5,5004,0.29
0,0,1,3,6.0,6.6,4789,0.65
1,1,1,1,4.0,6.2,4836,0.44
1,1,0,4,7.0,7.0,4754,0.6
1,1,1,3,5.0,5.4,4748,0.34
0,0,1,1,2.0,5.9,4824,0.15
1,1,1,2,4.0,5.5,4722,0.33
1,1,1,3,6.0,4.6,4954,0.35
0,1,0,5,9.0,7.8,4968,0.79
1,1,1,1,4.0,4.8,5021,0.41
0,1,0,4,8.0,9.6,4860,0.86
1,1,1,3,7.0,8.0,4768,0.8
1,0,1,3,5.0,5.1,4938,0.32
1,1,0,3,6.0,8.7,4838,0.76
1,1,1,0,1.0,2.6,4943,0.15
1,0,0,3,5.0,5.7,4889,0.54
0,1,0,4,8.0,8.8,4756,0.7
1,1,0,3,7.0,7.7,4911,0.57
1,0,0,1,3.0,5.5,4878,0.44
1,0,0,3,6.0,4.9,4820,0.32
1,0,0,3,5.0,4.7,4836,0.38
0,0,0,4,7.0,9.2,4933,0.82
0,0,0,3,7.0,6.2,4962,0.58
1,1,0,5,10.0,9.5,4928,0.94
1,1,0,3,6.0,5.3,5051,0.43
0,0,0,2,4.0,8.3,5016,0.64
1,1,1,1,4.0,6.8,4759,0.5
1,0,1,5,4.0,9.4,4983,1.0
0,1,0,3,5.0,5.9,4754,0.42
1,0,0,2,3.0,6.1,4951,0.41
0,1,1,2,3.0,3.3,4975,0.25
0,1,0,2,6.0,5.5,4829,0.51
0,1,1,1,3.0,5.9,4767,0.38
1,0,1,1,2.0,5.9,4880,0.0
0,1,0,2,7.0,8.8,4804,0.8
1,1,0,2,4.0,5.7,4704,0.36
1,1,1,3,4.0,4.3,5057,0.38
1,0,1,1,4.0,6.2,4950,0.41
1,0,0,3,5.0,7.1,4897,0.64
1,1,1,2,5.0,3.7,4782,0.3
0,0,0,3,6.0,5.7,4817,0.44
